,index,0,1,2
0,0,0.2590904,-0.14335848,-0.1597886
1,1,0.14081255,-0.005518321,-0.11727183
2,2,0.10421953,-0.14768934,-0.06182483
3,3,-0.124820374,-0.20403011,0.042751268
4,4,-0.29520133,-0.51196545,0.20737386
5,5,-0.1014509,-0.24354784,0.014479888
6,6,-0.042131253,-0.2775208,-0.036151715
7,7,-0.2525854,-0.4210101,-0.05156953
8,8,-0.1726445,-0.5241731,-0.050759867
9,9,-0.34825808,-0.39101508,0.0515884
10,10,0.15102504,-0.0456847,-0.162427
11,11,-0.0012910876,-0.0839434,-0.20694563
12,12,0.17239483,0.07233895,0.078693315
13,13,-0.3183336,-0.63983965,0.11049897
14,14,0.099099316,-0.1861041,-0.1672442
15,15,-0.12655446,-0.1864067,0.15263852
16,16,-0.08785731,-0.22950721,0.002139081
17,17,0.08845966,-0.12168552,-0.051407054
18,18,-0.09129203,-0.005336616,0.053219073
19,19,0.17362756,-0.16317546,-0.026507318
20,20,-0.2701156,-0.16556124,0.0017424755
21,21,-0.1604512,-0.24048807,0.2207985
22,22,0.17962587,-0.08226336,-0.14664145
23,23,0.14621581,-0.16473868,-0.1221986
24,24,0.18062118,0.045379367,-0.0963082
25,25,-0.0017465788,-0.043489885,-0.02280961
26,26,0.32431117,-0.06274016,-0.14924037
27,27,-0.12810451,-0.07411073,-0.0024231367
28,28,-0.11839109,-0.16408268,0.10769315
29,29,-0.36644512,-0.45067972,0.1572329
30,30,-0.25122318,-0.5276623,0.21818808
31,31,-0.24518178,-0.41195688,-0.0450555
32,32,0.06292214,-0.057927754,0.012566672
33,33,-0.26542404,-0.26276776,0.19387767
34,34,0.3818803,-0.10639013,-0.13262263
35,35,0.090467535,-0.1495702,-0.13047189
36,36,0.13666174,-0.15946591,-0.2321528
37,37,-0.27748045,-0.40092665,0.0639504
38,38,0.29601222,-0.09798975,-0.18075332
39,39,-0.18191972,-0.24007566,0.0833306
40,40,-0.20619984,-0.43331626,0.02949142
41,41,-0.0697024,0.020861726,0.17052083
42,42,-0.13974798,-0.17363073,-0.040024787
43,43,0.07056733,-0.21788447,-0.14542991
44,44,-0.31442153,-0.3412678,0.096897654
45,45,0.18146493,-0.15767123,-0.19312984
46,46,-0.033161655,-0.14740865,0.009901741
47,47,-0.42363432,-0.30162674,0.21866676
48,48,-0.12357661,-0.16265048,0.240392
49,49,-0.15149502,-0.23891653,-0.14284801
50,50,-0.03505429,-0.261875,-0.081232786
51,51,0.29319772,-0.025181103,-0.07578412
52,52,0.33648863,0.028396364,-0.034750767
53,53,0.15270521,0.28182122,0.13361594
54,54,0.37938222,0.080828205,-0.06625301
55,55,-0.24527565,-0.36176714,-0.0792433
56,56,-0.25275174,-0.44011447,0.15296422
57,57,-0.30804127,-0.2739369,0.03403662
58,58,-0.2917533,-0.2888859,0.01788845
59,59,-0.2648196,-0.2962567,0.029028293
60,60,-0.13845734,-0.27018926,0.16371831
61,61,0.08546088,-0.15507753,0.054396253
62,62,0.00810019,-0.13084829,-0.091765285
63,63,0.2980487,-0.20070976,-0.18583938
64,64,0.20581602,-0.048513766,-0.03288854
65,65,0.06358539,-0.26723835,-0.0822535
66,66,-0.2887556,-0.51656187,0.33436522
67,67,0.007444413,-0.14552261,0.009912961
68,68,-0.115907036,-0.2524121,-0.061234828
69,69,0.08030071,-0.13019077,-0.108082734
70,70,-0.06518409,-0.24291553,0.067558154
71,71,0.12244892,0.11437659,0.05603748
72,72,0.0073040663,-0.18122835,0.048463702
73,73,-0.025203979,-0.21397714,0.007301594
74,74,0.20813656,-0.12254405,-0.05917269
75,75,0.2560251,-0.08272131,-0.15641737
76,76,-0.12912527,-0.112719014,0.1009868
77,77,-0.03311693,-0.23142324,-0.07774944
78,78,0.06171424,-0.20949079,-0.1531884
79,79,0.023995558,-0.21382539,0.005991568
80,80,-0.1039039,-0.23103842,-0.02558912
81,81,0.11877642,-0.15107486,-0.15084602
82,82,0.0022627052,-0.2452792,0.02166593
83,83,-0.26374513,-0.35505185,0.045029275
84,84,-0.09031994,-0.2839674,-0.11525695
85,85,0.06631444,-0.23390163,-0.15715149
86,86,-0.19842154,-0.374654,0.08846586
87,87,0.013373562,-0.09043424,-0.10843976
88,88,-0.010935417,-0.37614533,-0.09387703
89,89,-0.32003376,-0.5527467,0.22546276
90,90,0.23647085,-0.108063266,-0.14822488
91,91,-0.35443035,-0.36141375,0.16025195
92,92,0.09315133,-0.205429,-0.10006253
93,93,0.12317688,-0.1593545,-0.1434688
94,94,-0.23826805,-0.27104995,0.02642553
95,95,-0.36557147,-0.3964112,0.16104057
96,96,-0.18358666,-0.2125941,0.031435393
97,97,0.15632392,-0.10667997,-0.22473416
98,98,-0.35455188,-0.42745396,0.1932787
99,99,-0.22340828,-0.2913824,0.081988655
